Resp_ID,ID,Prompt,Response,na_count,facsco_grm,facsco_gpcm,Discrimination.x,rater1,rater2,rater3,rater4,rater5,rater6,rater7,rater8,rater9,rater10,rater11,rater12,rater13,rater14,rater15,rater16,rater17,rater18,rater19,rater20,rater21,rater22,rater23,rater24,rater25,rater26,rater27,rater28,rater29,rater30,rater31,rater32,rater33,rater34,rater35,rater36,rater37,rater38,rater39,rater40,rater41,rater42,rater43,rater44,rater45,rater46,rater47,rater48,rater49,rater50,rater51,rater52,rater53,rater54,rater55,rater56,rater57,rater58,rater59,rater60,rater61,rater62,rater63,rater64,rater65,rater66,rater67,rater68,rater69,rater70,rater71,rater72,rater73,rater74,rater75,rater76,rater77,rater78,rater79,rater80,rater81,rater82,rater83,rater84,rater85,rater86,rater87,rater88,rater89,rater90,rater91,rater92,rater93,rater94,rater95,rater96,rater97,rater98,rater99,rater100,Discrimination.y
55b42b7cfdf99b5244217cf4_1,55b42b7cfdf99b5244217cf4,The tall tree is...,a giant,2,-0.239563337944348,-0.248335451484685,2.32606676567073,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32606676567073
5715699a30185b0008b40009_2,5715699a30185b0008b40009,The tall tree is...,a towering giant,1,0.657281055027097,0.648357589300393,0.272010345456378,3.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272010345456378
5aaeb037811b2000016f7e9f_6,5aaeb037811b2000016f7e9f,The tall tree is...,giant,2,-1.45246447610508,-1.43009065799606,0.341254619116054,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341254619116054
5aeb063b2f05b500013028a0_7,5aeb063b2f05b500013028a0,The tall tree is...,a monument,2,-0.872456642216798,-0.893420697988688,4.20750927733504,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20750927733504
5bd09264c39f0600019d798c_9,5bd09264c39f0600019d798c,The tall tree is...,like a friend,1,1.04921456505069,1.19791054686174,0.51788075879235,5.0,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51788075879235
5cbcc928ec9b730018bad2a9_12,5cbcc928ec9b730018bad2a9,The tall tree is...,the tall tree is a ladde,3,0.429669838764314,0.430266726992642,2.32606676567073,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32606676567073
5d1ba5653788ac0019ced548_13,5d1ba5653788ac0019ced548,The tall tree is...,closest to god,1,1.45446147728246,1.41836812424397,0.272010345456378,4.0,1.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272010345456378
5d30790f326b0f0017a2a828_14,5d30790f326b0f0017a2a828,The tall tree is...,like a giraffe,1,-0.0222153776362912,-0.0119325144363364,0.341254619116054,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341254619116054
5d3129fc1802ea00160c0e43_15,5d3129fc1802ea00160c0e43,The tall tree is...,unreachable,2,0.436951510797479,0.411788666521531,4.20750927733504,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20750927733504
5e1508eb18e869b078576e94_18,5e1508eb18e869b078576e94,The tall tree is...,feels like a stairway to heaven,2,1.69536591899784,1.72586243515545,0.51788075879235,5.0,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51788075879235
5e682f7b30914f0ed798df97_19,5e682f7b30914f0ed798df97,The tall tree is...,the apple came to sing,4,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e76d33b72b482247aadc779_20,5e76d33b72b482247aadc779,The tall tree is...,a tower,2,-1.41182996361227,-1.39861267001569,2.32606676567073,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32606676567073
5e77fed6af3f66374a042984_21,5e77fed6af3f66374a042984,The tall tree is...,a tower,2,-1.41182996361227,-1.39861267001569,0.272010345456378,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272010345456378
5e81aba4b01c3588ef5e5530_22,5e81aba4b01c3588ef5e5530,The tall tree is...,a giant,1,-1.46752406433527,-1.44058200731106,0.341254619116054,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341254619116054
5ed07b035d44fa1539f0c3e4_23,5ed07b035d44fa1539f0c3e4,The tall tree is...,like a giraffe,1,0.0332362686376257,0.0620901898569144,4.20750927733504,3.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20750927733504
